BASKAR A, Desiya Murpokku Dravida Kazhagam, 76943
SANTHAMOORTHY P, Pattali Makkal Katchi, 72900
RAJA P S, Independent, 6937
PRABAKARAN K, Bharatiya Janata Party, 2832
VENKATESH K, Independent, 2630
SIVAN R, Independent, 1714
VENKATACHALAM C, Independent, 1080
SELVAM K, Bahujan Samaj Party, 1068
PRABHU P, Independent, 911
NALLENDRAN S, Independent, 670
CHINNASAMY G, Independent, 563
