MANORANJITHAM, All India Anna Dravida Munnetra Kazhagam, 90381
MUNIYAMMAL, Viduthalai Chiruthaigal Katchi, 51223
VEDIYAPPAN.S, Independent, 4134
SANKAR.C.K, Bharatiya Janata Party, 2549
DR.DEVARAJAN.V, Independent, 2138
VINOTHKUMAR.P, Independent, 1584
MURUGAN, Independent, 1382
