MUTHUKARUPPANNASAMY M K, All India Anna Dravida Munnetra Kazhagam, 81446
NITHYANANDHAN. K, Kongu Nadu Munnetra Kazhagam, 51138
RAGUNATHAN V K, Bharatiya Janata Party, 3909
KALIMUTHU M, Bahujan Samaj Party, 1528
PRAVEEN KUMAR. N, Independent, 1449
ARUMUGAM. P. K, Independent, 1221
MANIMARAN K, Indiya Jananayaka Katchi, 1056
