S.RAVI, All India Anna Dravida Munnetra Kazhagam, 79409
S.SELLAPANDIAN, Viduthalai Chiruthaigal Katchi, 53172
G.MAHALINGAM, Puratchi Bharatham, 3007
P.SUDHAKAR, Bahujan Samaj Party, 2030
S.SENDILKUMAR, Indiya Jananayaka Katchi, 1755
W.TITUS THIYAGARAJAN, Akhila India Jananayaka Makkal Katchi (Dr. Issac), 1483
D.RAVI, Independent, 1103
